Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot12,"jayy",normal,5,Active,"Underground North","Underground North: Objective #1","1","23:14:01","N/A",
Bot13,"redlaser42",normal,8,Active,"Тарков не прощает ошибок","Zone Sandbox_mine_quest","1","23:14:01","N/A",
Bot14,"MadByte",normal,7,Failed,"Capital Insight","Capital Insight: Objective #2","1","23:14:01","23:17:41",
Bot15,"roman biznes",hard,9,Failed,"Первый в очереди","Zone Sandbox_1_MedicalArea_exploration","1","23:14:01","23:14:05",
Bot15,"roman biznes",hard,9,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","23:14:10","23:17:42",
Bot18,"Вантуз Окурок",normal,1,Active,"Underground North","Underground North: Objective #5","1","23:14:02","N/A",
Bot17,"Пуш Фуфел",hard,1,Failed,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","1","23:14:02","23:19:41",
Bot16,"Ботир Бараш",normal,1,Completed,"Underground South","Underground South: Objective #4","1","23:14:02","23:14:25",
Bot16,"Ботир Бараш",normal,1,Active,"Underground South","Underground South: Objective #3","1","23:14:30","N/A",
Bot22,"Пуш Дизайнер",easy,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:17:43","23:18:55",
Bot22,"Пуш Дизайнер",easy,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","23:19:00","23:19:02",
Bot22,"Пуш Дизайнер",easy,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","23:19:07","23:19:34",
Bot22,"Пуш Дизайнер",easy,1,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","23:19:39","23:19:43",
Bot22,"Пуш Дизайнер",easy,1,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","23:19:48","N/A",
Bot23,"Никитка Люканг",normal,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:17:52","23:18:44",
[Not Spawned],"Матвей Сова",easy,1,,,,,,,
[Not Spawned],"Кэл Ферзь",easy,1,,,,,,,
[Not Spawned],"Боря Беленький",easy,1,,,,,,,
[Not Spawned],"Тимурка Красносельский",easy,1,,,,,,,
[Not Spawned],"Тихон Петросян",easy,1,,,,,,,
[Not Spawned],"Вадимка Кассир",normal,1,,,,,,,
[Not Spawned],"Руслан Веник",easy,1,,,,,,,
[Not Spawned],"Пантелеймон Питон",easy,1,,,,,,,
[Not Spawned],"Афанасий Ихтиандр",easy,1,,,,,,,
[Not Spawned],"Заур Болт",normal,1,,,,,,,
