Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot59,"Боря Самарский",normal,1,Completed,"Underground North","Underground North: Objective #3","1","23:56:27","23:56:43",
Bot59,"Боря Самарский",normal,1,Completed,"Underground North","Underground North: Objective #2","1","23:56:48","23:57:01",
Bot59,"Боря Самарский",normal,1,Completed,"Underground North","Underground North: Objective #1","1","23:57:06","23:57:20",
Bot59,"Боря Самарский",normal,1,Completed,"Underground North","Underground North: Objective #7","2","23:57:25","23:58:16",
Bot59,"Боря Самарский",normal,1,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:58:21","N/A",
Bot60,"Афанасий Незнайка",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #5","1","23:45:25","23:46:22",
Bot60,"Афанасий Незнайка",normal,1,Failed,"Olive Restaurant","Olive Restaurant: Objective #4","1","23:46:27","23:47:02",
Bot60,"Афанасий Незнайка",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #3","1","23:47:07","23:47:23",
Bot60,"Афанасий Незнайка",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #2","2","23:47:29","23:48:23",
Bot60,"Афанасий Незнайка",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #1","1","23:48:28","23:48:54",
Bot60,"Афанасий Незнайка",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #6","1","23:48:59","23:51:03",
Bot60,"Афанасий Незнайка",normal,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","2","23:51:08","23:57:03",
Bot61,"Костыль Чеклист",normal,1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","23:45:55","23:46:01",
Bot61,"Костыль Чеклист",normal,1,Failed,"TerraGroup Garage","TerraGroup Garage: Objective #2","3","23:46:06","23:46:44",
Bot61,"Костыль Чеклист",normal,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:46:49","23:48:01",
Bot62,"Петя Ижевчанин",normal,1,Active,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","23:46:25","N/A",
Bot63,"Егор Мятый",easy,1,Completed,"Capital Insight","Capital Insight: Objective #2","1","23:48:02","23:48:34",
Bot63,"Егор Мятый",easy,1,Completed,"Capital Insight","Capital Insight: Objective #3","1","23:48:39","23:56:44",
Bot63,"Егор Мятый",easy,1,Active,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","1","23:56:49","N/A",
Bot73,"Юрец Кот",normal,1,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:57:04","N/A",
[Not Spawned],"Саня Арматура",easy,1,,,,,,,
[Not Spawned],"Радик Горностай",normal,1,,,,,,,
[Not Spawned],"Юра Байзальбоп",normal,1,,,,,,,
[Not Spawned],"Деня Пипискин",hard,1,,,,,,,
[Not Spawned],"Спиридон Мамкин",normal,1,,,,,,,
