Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot28,"nooky",normal,13,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","12:56:59","13:23:50",
Bot29,"cardsmen",normal,4,Failed,"Тарков не прощает ошибок","Zone Sandbox_mine_quest","1","12:56:59","13:07:41",
Bot26,"Holynevil",normal,7,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","12:56:59","13:07:59",
Bot26,"Holynevil",normal,7,Completed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","13:08:04","13:10:36",
Bot26,"Holynevil",normal,7,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","13:11:36","13:17:06",
Bot30,"Life",easy,14,Completed,"Tartowers","Tartowers: Objective #4","1","12:56:59","12:57:03",
Bot30,"Life",easy,14,Failed,"Tartowers","Tartowers: Objective #1","1","12:57:08","13:02:17",
Bot25,"Dirtbikercj",normal,3,Failed,"Olive Restaurant","Olive Restaurant: Objective #6","1","12:56:59","13:00:29",
Bot27,"Aethas",normal,13,Completed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","12:56:59","12:57:26",
Bot27,"Aethas",normal,13,Failed,"Спасение крота","Zone Sandbox_5_Laborant_exploration","1","12:57:31","13:12:26",
Bot50,"tyvas",normal,2,Failed,"Capital Insight","Capital Insight: Objective #4","1","13:00:39","13:07:26",
Bot51,"Mr_Pudlik",normal,9,Failed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","13:00:40","13:03:21",
Bot54,"Мишган ЧПУ",normal,1,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","13:04:38","13:05:09",
Bot54,"Мишган ЧПУ",normal,1,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","13:05:14","13:18:31",
Bot56,"Денис Живчик",hard,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","13:05:59","13:08:05",
Bot59,"Влад Шуруп",hard,1,Failed,"Underground North","Underground North: Objective #3","1","13:08:08","13:13:45",
Bot57,"Батыр РХБЗ",hard,1,Failed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","13:08:08","13:09:04",
Bot57,"Батыр РХБЗ",hard,1,Failed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","13:09:09","13:11:00",
Bot57,"Батыр РХБЗ",hard,1,Active,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","13:11:05","N/A",
Bot58,"Ботир Скульптор",hard,1,Pending,"Skyside Hotel","Skyside Hotel: Objective #4","1","13:08:09","N/A",
Bot63,"Петька Денди",normal,1,Completed,"Capital Insight","Capital Insight: Objective #2","1","13:12:30","13:12:55",
Bot63,"Петька Денди",normal,1,Active,"Capital Insight","Capital Insight: Objective #3","1","13:13:00","N/A",
Bot64,"Сёма Сутенер",easy,1,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","13:13:50","13:18:16",
Bot64,"Сёма Сутенер",easy,1,Failed,"Capital Insight Stairwell Camping","Capital Insight Stairwell Camping: Objective #1","1","13:18:21","13:23:42",
Bot65,"Витек Якубович",easy,1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","13:17:10","13:24:52",
Bot65,"Витек Якубович",easy,1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #2","3","13:24:57","13:26:18",
Bot65,"Витек Якубович",easy,1,Active,"TerraGroup Office Camping","TerraGroup Office Camping: Objective #1","1","13:26:24","N/A",
Bot66,"Гиви Секач",easy,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","13:23:51","13:23:51",
Bot66,"Гиви Секач",easy,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","3","13:23:57","13:25:28",
Bot66,"Гиви Секач",easy,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","13:25:34","N/A",
Bot67,"Платон Додик",easy,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #6","1","13:23:52","13:27:10",
[Not Spawned],"Митрофан Ипотека",normal,1,,,,,,,
[Not Spawned],"Паша Минский",normal,1,,,,,,,
[Not Spawned],"Аристарх Саратовский",hard,1,,,,,,,
[Not Spawned],"Вася Минтай",hard,1,,,,,,,
[Not Spawned],"Мэн Мутнорылый",normal,1,,,,,,,
